logFC	logCPM	PValue	FDR
PdomMRNA00965.1	-1.56312442569306	6.41092145048105	1.23532943311381e-14	1.04805349105375e-10
PdomMRNA05824.1	-1.8536318043569	6.59274021618016	2.73771931926485e-11	1.16134053523215e-07
PdomMRNA00174.1	-2.23155310833263	4.93179368247278	2.55089289106815e-10	7.21392509594074e-07
PdomMRNA09020.1	-5.36633890474017	4.76518096674492	4.83470005104831e-09	8.44465661853172e-06
PdomMRNA00958.1	1.25396657169268	7.29172413877036	4.97681318866791e-09	8.44465661853172e-06
PdomMRNA01035.1	1.47417997262974	6.20196263912914	1.04910946419263e-08	1.48344078236838e-05
PdomMRNA01003.1	-1.65917740792013	13.4236143291158	2.18444407265627e-08	2.6475462160594e-05
PdomMRNA09826.1	-1.34142002050389	7.05468575942938	3.05411414073404e-08	2.95287199649467e-05
PdomMRNA10705.1	-1.41937706876403	7.06517045311974	3.13246675724328e-08	2.95287199649467e-05
PdomMRNA00374.1	-1.5795854094618	7.40292554987026	4.49325043654307e-08	3.81207367036314e-05
PdomMRNA06702.1	-1.77248105222022	6.30129877823613	7.16017557296182e-08	5.52244814190983e-05
PdomMRNA02464.1	-3.94037087507529	2.73623301760337	1.0214171787821e-07	7.22141945398946e-05
PdomMRNA08136.1	3.77164815057863	2.38918983352597	1.19899681636715e-07	7.82483768466068e-05
PdomMRNA03709.1	-1.3437703832209	4.33311646622071	1.59793797275946e-07	9.68350411492233e-05
PdomMRNA10264.1	1.29502680921713	5.87632813393836	3.12879645171677e-07	0.0001769647273091
PdomMRNA02318.1	-1.10237620885895	12.9595672530398	4.34126263373933e-07	0.000230195451154028
PdomMRNA00825.1	-4.13468052540427	2.94966260552204	5.16234624428446e-07	0.000257631444332408
PdomMRNA01484.1	0.80107600294381	9.93845285499202	6.12778063443802e-07	0.000288822727236512
PdomMRNA01294.1	1.88562046829093	8.44950895180907	7.43738814680815e-07	0.000332098952829054
PdomMRNA00130.1	-1.29832006203637	7.37960906749116	7.85321329051677e-07	0.000333133307783722
PdomMRNA00278.1	-4.59653204521083	0.634112718695916	1.17994717250006e-06	0.000460524407595886
PdomMRNA05050.1	-0.95671975883252	6.47285108365092	1.19419341903695e-06	0.000460524407595886
PdomMRNA00644.1	1.90126252051889	3.75727382730706	1.35882492137986e-06	0.000472788483247693
PdomMRNA03148.1	-1.34291432372771	6.55469783419484	1.40721355682994e-06	0.000472788483247693
PdomMRNA07600.1	-1.82102544494562	9.40805596642834	1.43424628383025e-06	0.000472788483247693
PdomMRNA08428.1	1.28895853171285	4.77895236503713	1.44890388548327e-06	0.000472788483247693
PdomMRNA10236.1	-2.5228550498283	4.71682193024226	1.62732834903562e-06	0.000511342730119191
PdomMRNA08033.1	1.692601212419	6.96697404906135	2.254516082124e-06	0.000683118372883573
PdomMRNA05732.1	-2.47503983628365	1.20995232007719	2.5713805163537e-06	0.000752261803473957
PdomMRNA07557.1	-1.20212510369708	6.12750614975617	2.80743509912025e-06	0.000793942646031205
PdomMRNA00893.1	1.97019292769781	2.42949402763789	3.03878259683776e-06	0.000831646179082954
PdomMRNA06208.1	-1.02715901052977	8.2676461281423	3.31832153530198e-06	0.000860447576556837
PdomMRNA04898.1	1.92263261035429	3.33393332631842	3.34686115350962e-06	0.000860447576556837
PdomMRNA00074.1	-1.13115104126129	8.25735607672598	4.40685190029647e-06	0.00107519046426305
PdomMRNA05691.1	0.970800837185745	5.89527917070619	4.43560422550762e-06	0.00107519046426305
PdomMRNA04366.1	1.43446390290081	5.85780893216437	4.95151287455251e-06	0.00116249558746642
PdomMRNA02979.1	-0.882812947912414	7.16189614591366	5.06981809715436e-06	0.00116249558746642
PdomMRNA01461.1	-1.19395272194137	5.88257379395115	6.26020011244335e-06	0.00139767204615709
PdomMRNA06145.1	0.744025614158143	8.26583281239079	6.47569204564904e-06	0.00140871208500735
PdomMRNA06313.1	3.60105108138613	1.34863559122416	6.83971292084657e-06	0.00145070311051156
PdomMRNA02940.1	1.02763220556839	4.83299069141354	7.19511345787274e-06	0.00146462338441016
PdomMRNA04522.1	-1.25036637850483	9.46998636044868	7.2506108139117e-06	0.00146462338441016
PdomMRNA08940.1	-1.39993522144966	4.21981733966366	7.69088490506633e-06	0.00151742947754844
PdomMRNA01249.1	1.66225942354497	2.85506191217605	8.82800723520327e-06	0.00170220030416965
PdomMRNA00123.1	1.05950985989623	5.62862936237059	9.05241515175632e-06	0.00170668200327779
PdomMRNA03552.1	-1.54253776668745	5.43250814634061	9.43154939023007e-06	0.00173950576145026
PdomMRNA04660.1	-0.774309018720283	7.52995054238775	1.04926964058975e-05	0.00189404332569435
PdomMRNA07312.1	1.82548306666736	3.68191123404392	1.19935152329923e-05	0.00211985381743139
PdomMRNA00238.1	1.0068301601564	5.4185433450548	1.29314172432157e-05	0.00223898252839678
