logFC	logCPM	PValue	FDR
PdomMRNA00374.1	3.63127632536204	7.40292554987026	1.88115306274756e-30	1.59597025843503e-26
PdomMRNA08894.1	5.89770964645412	7.02494094939222	5.51396535409178e-22	2.33902410320573e-18
PdomMRNA05217.1	5.40293114900814	6.55613438616578	6.93346492985699e-19	1.96078388216356e-15
PdomMRNA03651.1	7.58898410519767	5.7052827694704	4.63301557843232e-17	9.82662604185496e-14
PdomMRNA08564.1	5.01089426883519	5.22748361459119	4.20613868920324e-11	7.13697612784006e-08
PdomMRNA07428.1	1.81403295302966	7.14617787032827	5.42853728229264e-11	7.67595171716179e-08
PdomMRNA09202.1	2.40252837592159	7.51879725542511	7.59302940153562e-11	9.20275163466117e-08
PdomMRNA05769.1	2.64512550377244	7.20634830147795	2.73762180794215e-10	2.90324792732265e-07
PdomMRNA09020.1	-6.75933723718789	4.76518096674492	4.94449209213192e-10	4.66100787884969e-07
PdomMRNA02024.1	4.12381454050491	5.91063008379075	7.5609539675187e-10	6.41471334604286e-07
PdomMRNA01003.1	-1.99105916292333	13.4236143291158	9.5356445102691e-10	7.35458254773846e-07
PdomMRNA09638.1	2.25411919105487	7.34042871050565	3.00873550190488e-09	2.12717599984675e-06
PdomMRNA00032.1	2.23298019754091	4.50274960342972	5.30007791953356e-09	3.4589123899479e-06
PdomMRNA10031.1	2.43285853301216	8.66184666553277	8.03953626926758e-09	4.87195897917616e-06
PdomMRNA01971.1	1.87892349179453	4.71985370737841	1.62352174293466e-08	9.18263897803845e-06
PdomMRNA06498.1	1.33952023459312	9.27333491236945	1.73603269729582e-08	9.20531337741111e-06
PdomMRNA10705.1	-1.54687322280424	7.06517045311974	2.63803754896568e-08	1.31653591561322e-05
PdomMRNA10701.1	1.66737106031711	7.93348750074901	3.57843193026305e-08	1.68663424979732e-05
PdomMRNA02464.1	-4.71992850816582	2.73623301760337	3.82951945650324e-08	1.7099812141565e-05
PdomMRNA01035.1	1.46437446500735	6.20196263912914	4.65992615878082e-08	1.97674067655483e-05
PdomMRNA05094.1	1.387370195832	6.27427559366503	5.65568979278628e-08	2.28489867628566e-05
PdomMRNA03727.1	4.58516116486541	1.00735093031649	8.63483687317294e-08	3.3299070923636e-05
PdomMRNA05092.1	1.13730841590288	5.89051081223679	2.8278776336881e-07	0.000104311799322651
PdomMRNA00574.1	2.2128662811473	8.56246630749864	3.5919049073624e-07	0.000125751326391415
PdomMRNA03330.1	3.02164845931437	4.11424900395818	3.70554356410347e-07	0.000125751326391415
