logFC	logCPM	PValue	FDR
PdomMRNA00374.1	5.21069984943458	7.40292554987026	2.26717499168597e-53	1.92347126294638e-49
PdomMRNA05217.1	6.70561132792682	6.55613438616578	3.63827774816813e-25	1.54335742077292e-21
PdomMRNA02024.1	6.49316164750451	5.91063008379075	6.15657495054205e-18	1.74107939601329e-14
PdomMRNA08894.1	4.31076355645065	7.02494094939222	3.85782547757449e-14	8.18244783793548e-11
PdomMRNA08564.1	5.9517412279568	5.22748361459119	6.36015455766954e-14	1.07919102534537e-10
PdomMRNA03651.1	6.34034811103076	5.7052827694704	1.17891727640008e-13	1.66698902882972e-10
PdomMRNA10701.1	2.10309054967231	7.93348750074901	6.02744860622276e-12	7.30526771074198e-09
PdomMRNA10031.1	2.61422641440245	8.66184666553277	7.24334042769556e-10	7.68156252357114e-07
PdomMRNA00278.1	5.63133737907861	0.634112718695916	4.04408377765021e-09	3.81222297439827e-06
PdomMRNA03614.1	3.52154071640962	7.86178688204847	4.53079177740113e-09	3.84392374394712e-06
PdomMRNA05601.1	2.70990052403488	8.19886135069109	7.15433630442788e-09	5.51794447334238e-06
PdomMRNA05224.1	1.9572160008342	8.18310569406215	1.08676760222339e-08	7.58447370527629e-06
PdomMRNA09202.1	2.08904922094942	7.51879725542511	1.16216593786648e-08	7.58447370527629e-06
PdomMRNA09869.1	1.35784076363419	6.13875397969836	4.86280441131511e-07	0.000294685947325695
PdomMRNA03404.1	1.27041488394031	6.69787745436699	7.11386830365638e-07	0.000402360391254805
PdomMRNA05769.1	2.03176526307158	7.20634830147795	7.96256201297763e-07	0.000422214850738139
PdomMRNA02023.1	2.41251744492893	6.80997010052019	9.98787277638751e-07	0.000498453603734539
PdomMRNA06491.1	1.55607010732574	4.39317315358311	1.53464121573784e-06	0.000723327559684435
PdomMRNA03171.1	-2.15746473202428	5.52535809777566	1.65795466447123e-06	0.00074032038807231
PdomMRNA06827.1	2.73791269808896	5.36050566526321	1.77487666449269e-06	0.000752902681077799
PdomMRNA05094.1	1.21146030096882	6.27427559366503	2.11950696727612e-06	0.000856280814779553
PdomMRNA10284.1	3.45764602367461	2.46504829592508	2.95486479225839e-06	0.00113777685948239
PdomMRNA00028.1	1.21053678682942	8.75862279221426	3.08449643659771e-06	0.00113777685948239
PdomMRNA06888.1	0.782072361745438	8.66141527393486	7.29606375837626e-06	0.00257915853858601
PdomMRNA06924.1	1.25749135990964	7.00139192972572	9.38519607640454e-06	0.00318496014048864
PdomMRNA00574.1	1.87771890335429	8.56246630749864	1.33593939922176e-05	0.00435927302422979
PdomMRNA00181.1	3.7418455932373	2.356048285902	1.53039256800497e-05	0.00480883353590896
PdomMRNA05122.1	-2.97255279629657	2.33249540809614	2.08602253142306e-05	0.00632064827021187
PdomMRNA01375.1	2.00836433926062	5.84074450940288	2.16634532248077e-05	0.00633768059169891
PdomMRNA03330.1	2.48416923183346	4.11424900395818	2.27797025803179e-05	0.00644209988971389
PdomMRNA03492.1	1.03777422114902	9.30598203524082	2.36346477259915e-05	0.00646826939701006
PdomMRNA05092.1	0.933505205549628	5.89051081223679	2.49746937091579e-05	0.00662141566964048
PdomMRNA04779.1	1.19034238946026	8.74333897944603	4.19517402311981e-05	0.0107854110339844
PdomMRNA04496.1	1.87798620511037	4.34949582749924	4.55653458207897e-05	0.011369893939517
PdomMRNA01294.1	-1.66443297002265	8.44950895180907	5.00879947174e-05	0.0121413299194978
PdomMRNA07707.1	1.04047002710275	5.98885211553263	5.99554511907982e-05	0.0141295013306314
PdomMRNA05332.1	1.76850288058107	8.94116703896614	6.32083062640109e-05	0.0144934937930775
PdomMRNA07271.1	-1.12635563752362	4.27083503156665	9.24417940715136e-05	0.0206388468658611
PdomMRNA09132.1	1.19548120266448	4.0532462996402	0.000100110987488472	0.0217779902013383
PdomMRNA03338.1	1.27978756560959	5.7068684794137	0.000112589973682084	0.0238803334179701
PdomMRNA06504.1	1.70234621088224	4.94994046441495	0.000122285586757548	0.0253041687329522
PdomMRNA01898.1	1.23097776931208	8.84863635027811	0.000132161998765488	0.0266967237506285
PdomMRNA04381.1	1.36907247177118	11.3698929699731	0.000153443644963247	0.0302747879969346
PdomMRNA07753.1	-3.18983428565626	2.8804772790248	0.000164116756807154	0.0316446946534522
PdomMRNA09345.1	1.46239181999787	5.92288009498377	0.000183321139719472	0.0341684991445969
PdomMRNA01461.1	1.03141465614411	5.88257379395115	0.000185260603565707	0.0341684991445969
PdomMRNA05605.1	1.76707172042208	2.13289896579682	0.000202789751293429	0.0366057074462436
PdomMRNA10170.1	2.76626034703791	3.08036154448815	0.000222871261704116	0.0388657469793963
PdomMRNA01251.1	-2.40225813754887	6.689205015724	0.000224472136019615	0.0388657469793963
PdomMRNA01425.1	2.82342233932005	1.11405137995388	0.00023977268353045	0.0406846289414467
PdomMRNA07551.1	1.5036098114841	4.54581924752839	0.000277489584230793	0.0461612084826284
