"read_count(G)"	"read_count(NW)"	"read_count(S)"
"PdomMRNA00001.1"	2127.4	1479.2	1704
"PdomMRNA00002.1"	88.4	131.8	191.75
"PdomMRNA00003.1"	1501.2	800	939
"PdomMRNA00004.1"	5563.4	3490	3627.5
"PdomMRNA00005.1"	6799	4073.4	5126.5
"PdomMRNA00006.1"	3840.2	1923	1949.25
"PdomMRNA00007.1"	19179.6	10776.8	12851
"PdomMRNA00008.1"	829	402	406.25
"PdomMRNA00009.1"	6634.2	4525.4	3876.5
"PdomMRNA00010.1"	723.4	395	384.5
"PdomMRNA00011.1"	1196.6	1197.2	1282.25
"PdomMRNA00013.1"	65.4	32.6	31.5
"PdomMRNA00014.1"	299.8	138.6	207.25
"PdomMRNA00015.1"	204.2	142.6	122.5
"PdomMRNA00016.1"	3761	2259.6	2220.75
"PdomMRNA00017.1"	1117.6	567.8	569
"PdomMRNA00018.1"	17225.4	10032.8	12063
"PdomMRNA00019.1"	10288.8	6783.2	7027.75
"PdomMRNA00021.1"	1481.8	1114.2	1081
"PdomMRNA00022.1"	1319.6	780	820.75
"PdomMRNA00023.1"	616.8	371.8	461
"PdomMRNA00026.1"	220.8	180.8	134
"PdomMRNA00027.1"	2326.4	1633.6	1724.75
"PdomMRNA00028.1"	8480.6	4310.6	9861.75
"PdomMRNA00030.1"	705.6	595	503.5
"PdomMRNA00031.1"	513.6	428.4	515.25
"PdomMRNA00032.1"	185	316.2	540.75
"PdomMRNA00033.1"	149.6	141.4	135.25
"PdomMRNA00036.1"	2563	1457	1661.25
"PdomMRNA00037.1"	8545.4	3696.8	4573
"PdomMRNA00038.1"	150.2	122.8	111.75
"PdomMRNA00039.1"	149.4	73.8	58.25
"PdomMRNA00040.1"	207	130.6	124.5
"PdomMRNA00041.1"	174.4	131	108.25
"PdomMRNA00044.1"	101	63	67.75
"PdomMRNA00045.1"	136.4	92.6	96.5
"PdomMRNA00046.1"	136.4	199	150.5
"PdomMRNA00047.1"	473.4	413.2	419.25
"PdomMRNA00048.1"	187.4	100	132.75
"PdomMRNA00049.1"	3819	3031	3201.75
"PdomMRNA00050.1"	1675	1125.8	1147.5
"PdomMRNA00051.1"	3594.4	3345	2669.25
"PdomMRNA00052.1"	4589.6	3872.8	3625
"PdomMRNA00054.1"	189.6	138.6	127.75
"PdomMRNA00055.1"	3687	2688.4	2735.5
"PdomMRNA00056.1"	15204	10942.8	11897.5
"PdomMRNA00057.1"	122	79	99.75
"PdomMRNA00058.1"	2045.8	1706.6	1494.25
