"read_count(G)"	"read_count(NW)"	"read_count(S)"	"logFD:NW vs G"	"logFD:S vs G"	"logFD:S vs NW"	"FDR:NW vs G"	"FDR:S vs G"	"FDR:S vs NW"
"PdomMRNA00374.1"	888.2	225.2	6820.75	-1.5795857200117	3.63127632478887	5.21070015935002	3.81429135809735e-05	1.60007428048721e-26	1.93232150776477e-49
"PdomMRNA08894.1"	147.4	299.4	6311	1.58680735928315	5.89770986192498	4.310763758526	0.0481471805660589	2.31846175521042e-18	8.13760699709201e-11
"PdomMRNA05217.1"	158.4	49.2	3495.25	NA	5.40293114477437	NA	NA	1.95779256372503e-15	NA
"PdomMRNA03651.1"	18.4	36	1776.25	NA	7.58898453770427	NA	NA	9.80940836571737e-14	NA
"PdomMRNA08564.1"	78.8	33.2	1288.25	NA	5.01089493380037	NA	NA	7.04408939920033e-08	NA
"PdomMRNA07428.1"	1457.4	1898.8	3461.75	0.983602095998027	1.81403295302966	NA	0.0114041456016447	7.67595171716179e-08	NA
"PdomMRNA09202.1"	1728.4	1383.6	4855.25	NA	2.40252837923626	NA	NA	9.20383263727528e-08	NA
"PdomMRNA05769.1"	1148.6	1351	5775.75	NA	2.6451255160345	NA	NA	2.90079162593402e-07	NA
"PdomMRNA09020.1"	1403.6	23.8	11	-5.36633560254764	-6.75935050676503	NA	8.55305272881272e-06	4.70002564694791e-07	NA
"PdomMRNA02024.1"	237.6	23.4	2571.5	-2.37044632764466	4.12381452432969	6.49316602271013	0.0114998259168634	6.40183801413392e-07	1.73437843773951e-14
"PdomMRNA01003.1"	450428.2	97323.6	84107.75	-1.65917740792013	-1.99105916292333	NA	2.6475462160594e-05	7.35458254773846e-07	NA
"PdomMRNA09638.1"	1432.8	2107.2	4584.5	1.4626638314524	2.25411933460917	NA	0.0053891214414219	2.14209767317014e-06	NA
"PdomMRNA00032.1"	185	316.2	540.75	1.26078852177238	2.23298008736513	NA	0.021726171614347	3.43549127793795e-06	NA
"PdomMRNA10031.1"	4012.4	2218.4	10559.5	NA	2.43285853301216	NA	NA	4.87195897917616e-06	NA
"PdomMRNA01971.1"	280.4	339.4	602	0.996053042727961	1.8789152072471	NA	0.0459008679581368	8.93043723933013e-06	NA
"PdomMRNA06498.1"	7990.4	10256	13676	0.844044038493239	1.33952023459312	NA	0.0117465964664901	9.20531337741111e-06	NA
"PdomMRNA10705.1"	4867.8	1288.4	1331.5	-1.41937704241205	-1.5468731044314	NA	2.95094403774097e-05	1.31566468110501e-05	NA
"PdomMRNA10701.1"	3569.2	1867.8	6493.25	NA	1.66737109360034	NA	NA	1.68837068722088e-05	NA
"PdomMRNA02464.1"	346	17.4	10.25	-3.94040983641247	-4.7199579262837	NA	7.31722974150722e-05	1.73414141061848e-05	NA
"PdomMRNA01035.1"	747.8	1443	1305.5	1.47418016888492	1.46437398104167	NA	1.474852755918e-05	1.96633049465504e-05	NA
"PdomMRNA05094.1"	1178.2	871.8	2152.5	NA	1.38737020058397	NA	NA	2.28695069168545e-05	NA
"PdomMRNA03727.1"	4.8	14.4	83.5	NA	4.58516308035321	NA	NA	3.28478728834432e-05	NA
"PdomMRNA05092.1"	883.2	734.8	1356	NA	1.13730846091952	NA	NA	0.000104177889394166	NA
"PdomMRNA00574.1"	3874.6	2822	8658.5	NA	2.2128662811473	NA	NA	0.000122425124866398	NA
"PdomMRNA03330.1"	123.2	101.6	452.25	NA	3.02164012211487	NA	NA	0.000122425124866398	NA
"PdomMRNA02434.1"	739.2	732.6	1199.75	NA	1.31763951340676	NA	NA	0.00104549060208671	NA
"PdomMRNA07330.1"	140.2	195.6	363	NA	2.55107979321645	NA	NA	0.00118170464596966	NA
"PdomMRNA09906.1"	1217.6	1202.6	1777.75	0.818891526741306	1.17206678618124	NA	0.0311815024055877	0.00165280676011824	NA
"PdomMRNA07312.1"	104	247.6	225.25	1.82547664989125	1.95475979562713	NA	0.00205801103448431	0.00183135605243816	NA
"PdomMRNA03092.1"	1170.2	1513.6	1880.75	1.16951604845896	1.37661868966813	NA	0.00653912802842757	0.00191465446803623	NA
"PdomMRNA03148.1"	3172.8	900.6	1045.25	-1.34291431549343	-1.3371557046244	NA	0.000472427157074055	0.00219001795348044	NA
"PdomMRNA08136.1"	15.2	134.2	80.5	3.77164233798875	3.18300970823154	NA	7.72169505415483e-05	0.00219001795348044	NA
"PdomMRNA09279.1"	97.6	285.2	368.75	1.75378235077911	2.15364646647916	NA	0.0117465964664901	0.00263760373678996	NA
"PdomMRNA00965.1"	2887	693.4	988	-1.56312433201467	-0.93968844400667	NA	1.04724165692153e-10	0.00303618541195626	NA
"PdomMRNA02023.1"	1259.8	677.6	2758.25	NA	2.13176771138694	NA	NA	0.00314207331660925	NA
"PdomMRNA00238.1"	535.6	792.4	767	1.0068311215114	1.04704058910323	NA	0.00223273191997465	0.00337778717649029	NA
"PdomMRNA10180.1"	259.6	291.4	399.25	NA	1.37164990674538	NA	NA	0.00452542109940804	NA
"PdomMRNA08174.1"	5563	2385.2	2291.25	-0.659670391815656	-0.8104885691603	NA	0.0124421453855168	0.00470625945694905	NA
"PdomMRNA01375.1"	676.6	420	1307.5	NA	1.99199449160006	NA	NA	0.00514383247389871	NA
"PdomMRNA00174.1"	1279.6	176.6	301.25	-2.23155215894366	-1.57322070904902	NA	6.97222417940966e-07	0.00514383247389871	NA
"PdomMRNA09318.1"	1732	822.4	735.5	NA	-0.755605246293037	NA	NA	0.00619925578998545	NA
"PdomMRNA01127.1"	294.8	252.4	629.75	NA	2.12683486563843	NA	NA	0.00678766277850891	NA
"PdomMRNA09893.1"	548.2	501.2	653.75	NA	0.987977528763448	NA	NA	0.00785027414414132	NA
"PdomMRNA00644.1"	114	265.2	212	1.90124534271583	1.66346683010032	NA	0.000472427157074055	0.00785027414414132	NA
"PdomMRNA00200.1"	654.4	760.2	2138	NA	2.3362524687387	NA	NA	0.00884727274861969	NA
"PdomMRNA01911.1"	8863.4	4105.4	3896.75	-0.641284173565621	-0.799815303073157	NA	0.0218487612123549	0.0096831631304513	NA
"PdomMRNA00196.1"	299	459.6	571.5	1.31377995630636	1.45050362320948	NA	0.00978459391045992	0.0096831631304513	NA
"PdomMRNA00193.1"	1962	2506	2477.25	0.809791081061039	0.827320424297512	NA	0.00476610415718689	0.00987933456897642	NA
"PdomMRNA05334.1"	3523.6	1356.8	1437.75	-0.861766327183177	-0.866425258501318	NA	0.00300826859803464	0.0104265665834973	NA
"PdomMRNA06105.1"	52.8	23	6.25	NA	-2.46875682879402	NA	NA	0.0104265665834973	NA
"PdomMRNA01618.1"	7125.2	11311.6	15314.75	1.19549207381354	1.52759122678675	NA	0.0353997013776549	0.0104265665834973	NA
"PdomMRNA03733.1"	319.8	100.4	82	NA	-1.60621678206975	NA	NA	0.0105315208929079	NA
"PdomMRNA00002.1"	88.4	131.8	191.75	NA	1.77791723938223	NA	NA	0.0117515704229677	NA
"PdomMRNA03369.1"	5241.6	4581.6	5869.5	NA	0.748400917196509	NA	NA	0.0121625115692073	NA
"PdomMRNA01796.1"	2.4	52.4	24.5	4.76011642407967	4.29731718144633	NA	0.00228714936134415	0.016228835767994	NA
"PdomMRNA08325.1"	62071.2	30953.2	28605	-0.477807058541238	-0.623797326854649	NA	0.0444773295085283	0.0164514630238188	NA
"PdomMRNA05833.1"	1488.2	601	505	NA	-1.07304767978825	NA	NA	0.0167746101538518	NA
"PdomMRNA08038.1"	1468.8	1386.8	1599.5	NA	0.703150159310257	NA	NA	0.0186761659931456	NA
"PdomMRNA06348.1"	1053.6	796.2	1513.5	NA	1.57214231442931	NA	NA	0.0189552799037763	NA
"PdomMRNA02979.1"	4155.6	1625.4	1796.75	-0.882812883392134	-0.790853165130116	NA	0.00116166996826322	0.0189552799037763	NA
"PdomMRNA09382.1"	2982.6	3117.8	3119.25	0.670735379488191	0.66717030858466	NA	0.00645586103400187	0.0202082406476667	NA
"PdomMRNA05050.1"	2665	1015.2	1058.25	-0.956720631700733	-0.799534963544104	NA	0.00046172914210751	0.0212573602569852	NA
"PdomMRNA04292.1"	1121.4	515	478.75	-0.617698537270439	-0.7666055787545	NA	0.0373098256016108	0.0221900503298201	NA
"PdomMRNA09469.1"	1085.4	926	1409.25	NA	1.23640939042835	NA	NA	0.0221900503298201	NA
"PdomMRNA00958.1"	1997	3094.8	2232.75	1.25396707914427	0.838419007199258	NA	8.55305272881272e-06	0.022427091245514	NA
"PdomMRNA00797.1"	36.2	46.8	96.25	NA	2.02618634130234	NA	NA	0.0249666461314847	NA
"PdomMRNA05096.2"	79.2	46.6	15.75	NA	-2.05353250909353	NA	NA	0.0259608360062883	NA
"PdomMRNA10443.1"	99.8	53.6	5	NA	-3.44175710929774	NA	NA	0.027155154576458	NA
"PdomMRNA07709.1"	902.2	849.8	1024	NA	0.955825991039023	NA	NA	0.027155154576458	NA
"PdomMRNA03301.1"	4480.2	3207.6	5943.5	NA	0.947008218601538	NA	NA	0.0279969861321379	NA
"PdomMRNA04426.1"	2085.2	1834	2187.75	NA	0.653716583909291	NA	NA	0.0279969861321379	NA
"PdomMRNA07228.1"	150	21.6	7	NA	-3.70393222878459	NA	NA	0.0296161966017207	NA
"PdomMRNA02532.1"	544.4	175.6	165.5	-1.09348311155204	-1.07647972016286	NA	0.00653912802842757	0.0306514989629208	NA
"PdomMRNA07711.1"	645.4	340.8	232.25	NA	-0.947560519697899	NA	NA	0.030815983329336	NA
"PdomMRNA10612.1"	296.4	265.2	444	NA	1.42540671784427	NA	NA	0.0325893783810789	NA
"PdomMRNA03709.1"	646.8	173.2	250.25	-1.34376457213647	-0.976444433476946	NA	9.94267678728704e-05	0.0350916942973072	NA
"PdomMRNA01920.1"	135.4	29.8	24.25	NA	-2.25712131525861	NA	NA	0.0355718479310242	NA
"PdomMRNA05714.1"	718.2	1068.4	1078	1.59109572294319	1.36878805681228	NA	0.00252693092239718	0.0356129455473729	NA
"PdomMRNA08391.1"	13769	15793.8	18051	0.751795129309493	0.774797290167909	NA	0.0156786249191679	0.038146068354902	NA
"PdomMRNA09606.1"	49.4	108.8	112.25	1.66203110657287	1.83509181405308	NA	0.0310628512621286	0.0385467819539205	NA
"PdomMRNA06714.1"	1039.4	473.8	367.75	NA	-0.954327649486672	NA	NA	0.0407465493628484	NA
"PdomMRNA05824.1"	3422.8	675.2	1178	-1.85363196699608	-1.03741176640139	NA	1.16348468408635e-07	0.0414950301753194	NA
"PdomMRNA03120.1"	1836.4	1954.6	1965.75	0.590218236112041	0.620323025282329	NA	0.0202775926445174	0.0424434469994988	NA
"PdomMRNA04180.1"	653.2	246	236.75	NA	-1.07418097458965	NA	NA	0.0424434469994988	NA
"PdomMRNA08270.1"	3720.8	1450.2	1617.25	-0.740355850079438	-0.744486839630428	NA	0.0117465964664901	0.0427229824255294	NA
"PdomMRNA05601.1"	4587	1382.8	6882	NA	1.59655092735833	NA	NA	0.0434520418142685	NA
"PdomMRNA06213.1"	13	41.4	42.25	2.69461461223429	2.72707642961372	NA	0.0194779916289227	0.0453012397900677	NA
"PdomMRNA01962.1"	4083.2	1785.2	1815.25	-0.687973728892725	-0.729661159612906	NA	0.0202775926445174	0.0465688106945216	NA
"PdomMRNA00028.1"	8480.6	4310.6	9861.75	NA	0.898429906520763	NA	NA	0.0487810377842237	NA
"PdomMRNA06924.1"	2369	1292	2645.75	NA	0.979332224333423	NA	NA	0.0497193063941948	NA
"PdomMRNA09826.1"	4078.8	1228.2	1920	-1.34142019498771	NA	NA	2.95094403774097e-05	NA	NA
"PdomMRNA06702.1"	2789.8	557.2	1215.75	-1.77248115868714	NA	NA	5.53266920595743e-05	NA	NA
"PdomMRNA10264.1"	789.2	1125	809	1.29501706290917	NA	NA	0.000171153360732032	NA	NA
"PdomMRNA02318.1"	239133.6	79975.4	128835.8	-1.10237620885895	NA	NA	0.000230195451154028	NA	NA
"PdomMRNA00825.1"	338.2	14.8	52	-4.13468508551935	NA	NA	0.000260119846713024	NA	NA
"PdomMRNA01484.1"	15133	18218.6	15418.5	0.801076078688898	NA	NA	0.000285837431240137	NA	NA
"PdomMRNA01294.1"	3974.8	6964.4	2931.25	1.88562046829093	NA	-1.66443297002265	0.000332098952829054	NA	0.0121413299194978
"PdomMRNA00130.1"	5577.4	1722	2078.75	-1.29832006203637	NA	NA	0.000333133307783722	NA	NA
"PdomMRNA00278.1"	29.8	0.8	44	-4.59653206522134	NA	5.63133598079097	0.00046172914210751	NA	3.8208426141131e-06
"PdomMRNA07600.1"	25280.8	5326.2	9133.25	-1.82102544494562	NA	NA	0.000472427157074055	NA	NA
"PdomMRNA08428.1"	359.2	519.2	403.25	1.28895820206522	NA	NA	0.000472427157074055	NA	NA
"PdomMRNA10236.1"	870.8	108.8	389.75	-2.52285461775816	NA	NA	0.000513558382178629	NA	NA
"PdomMRNA08033.1"	1209.4	2859.8	2363.5	1.69260121051052	NA	NA	0.000683144970956829	NA	NA
"PdomMRNA05732.1"	74.8	9.4	28	-2.47503486629677	NA	NA	0.000770842411148397	NA	NA
"PdomMRNA07557.1"	1967	622.8	1188.25	-1.20212483721068	NA	NA	0.000792580148776634	NA	NA
